,9043071	Rick Wilson	Alberta	West	Corporate,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
0,60345992	Barry French	Nunavut	Nunavut	Consumer,
1,73316576	Lindsay Shagiari	Ontario	Ontario	Home Office,
2,95284420	Cathy Armstrong	British Columbia	West	Consumer,
3,72906222	Tracy Hopkins	British Columbia	West	Small Business,
4,74518551	Helen Andreada	Manitoba	Prarie	Corporate,
5,104516246	Olvera Toch	Ontario	Ontario	Home Office,
6,104598944	Paul MacIntyre	Nova Scotia	Atlantic	Corporate,
7,101777049	Darrin Van Huff	Saskachewan	Prarie	Home Office,
8,12392564	Troy Blackwell	Ontario	Ontario	Home Office,
9,103724988	Brenda Bowman	Quebec	Quebec	Small Business,
10,100099945	Ed Ludwig	Ontario	Ontario	Consumer,
11,4221093	Patrick Ryan	Saskachewan	Prarie	Corporate,
12,72489079	Denise Monton	Saskachewan	Prarie	Home Office,
13,101656918	Craig Carroll	Alberta	West	Corporate,
14,14548487	Guy Armstrong	Prince Edward Island	Atlantic	Corporate,
15,27242353	Carl Weiss	Saskachewan	Prarie	Consumer,
16,31379257	Joseph Airdo	Manitoba	Prarie	Consumer,
17,90097133	Randy Bradley	Saskachewan	Prarie	Small Business,
18,8230900	Thais Sissman	Manitoba	Prarie	Small Business,
19,36349541	Dorothy Wardle	Nunavut	Nunavut	Corporate,
20,93429106	Julia West	Northwest Territories	Northwest Territories	Small Business,
21,19890992	Stephanie Phelps	Alberta	West	Consumer,
22,18293658	Karen Carlisle	British Columbia	West	Home Office,
23,60636010	Roy Phan	Alberta	West	Corporate,
24,56352213	Pauline Chand	Ontario	Ontario	Corporate,
25,71604925	Brad Eason	Ontario	Ontario	Small Business,
26,13884388	Thomas Boland	Ontario	Ontario	Corporate,
27,85518221	Liz Pelletier	Saskachewan	Prarie	Home Office,
28,77579377	Berenike Kampe	Nova Scotia	Atlantic	Corporate,
29,72058336	Roy Skaria	British Columbia	West	Corporate,
30,15023876	Dennis Pardue	Saskachewan	Prarie	Small Business,
31,67135124	Pamela Coakley	Ontario	Ontario	Corporate,
32,90365410	Arthur Gainer	Quebec	Quebec	Corporate,
33,100684577	Maria Zettner	Alberta	West	Corporate,
34,20700273	Ionia McGrath	New Brunswick	Atlantic	Small Business,
35,65938413	George Bell	Ontario	Ontario	Corporate,
36,51065809	Larry Tron	Alberta	West	Home Office,
37,90627719	Gary McGarr	Manitoba	Prarie	Home Office,
38,59440797	Nicole Brennan	Yukon	Yukon	Consumer,
39,88815489	Luke Weiss	British Columbia	West	Corporate,
40,79337791	Brad Thomas	Yukon	Yukon	Home Office,
41,73805224	Chloris Kastensmidt	Alberta	West	Consumer,
42,38797703	Rick Wilson	Saskachewan	Prarie	Corporate,
43,32775334	Cari MacIntyre	Ontario	Ontario	Corporate,
44,33888882	Alice McCarthy	Alberta	West	Corporate,
45,65676679	Ben Peterman	Quebec	Quebec	Corporate,
46,75234630	Lisa Hazard	Alberta	West	Home Office,
47,100100202	Brad Norvell	Nova Scotia	Atlantic	Corporate,
48,65181272	Rob Haberlin	British Columbia	West	Corporate,
49,66496454	Paul Knutson	Quebec	Quebec	Corporate,
50,75322156	Anne Pryor	Quebec	Quebec	Consumer,
51,45168399	Matt Collins	British Columbia	West	Consumer,
52,47273840	Ralph Knight	Northwest Territories	Northwest Territories	Consumer,
53,48760545	Cynthia Arntzen	Ontario	Ontario	Small Business,
54,55650115	Jason Fortune	Alberta	West	Corporate,
55,23674656	Alan Schoenberger	Ontario	Ontario	Corporate,
56,76519514	Anemone Ratner	Ontario	Ontario	Small Business,
57,82445538	Darren Budd	Ontario	Ontario	Home Office,
58,95816282	Christopher Schild	Prince Edward Island	Atlantic	Corporate,
59,36773200	Elizabeth Moffitt	Nova Scotia	Atlantic	Consumer,
60,18716501	Aleksandra Gannaway	Yukon	Yukon	Corporate,
61,64043844	Justin Hirsh	Nova Scotia	Atlantic	Consumer,
62,76162149	Sandra Glassco	Ontario	Ontario	Home Office,
63,23988283	Neil French	Saskachewan	Prarie	Consumer,
64,19984778	Georgia Rosenberg	New Brunswick	Atlantic	Consumer,
65,48698759	Allen Golden	Ontario	Ontario	Consumer,
66,50111887	Ruben Dartt	Alberta	West	Corporate,
67,38984610	Ted Butterfield	Quebec	Quebec	Corporate,
68,57347993	Todd Boyes	Ontario	Ontario	Small Business,
69,61555104	Jack O'Briant	Saskachewan	Prarie	Small Business,
70,56512681	Dave Kipp	Yukon	Yukon	Consumer,
71,75226845	Maureen Fritzler	Ontario	Ontario	Corporate,
72,26405324	Dan Campbell	Newfoundland	Atlantic	Corporate,
73,102101268	Valerie Takahito	Manitoba	Prarie	Consumer,
74,74757853	Ken Dana	Alberta	West	Corporate,
75,6794165	Shirley Daniels	Quebec	Quebec	Corporate,
76,12671287	Darren Budd	Ontario	Ontario	Consumer,
77,19360668	Parhena Norris	Manitoba	Prarie	Home Office,
78,31028836	George Ashbrook	Ontario	Ontario	Small Business,
79,75768983	Brian Stugart	Ontario	Ontario	Consumer,
80,51940252	Guy Armstrong	Manitoba	Prarie	Corporate,
81,97257760	Alejandro Ballentine	Alberta	West	Small Business,
82,99434135	Cindy Stewart	Yukon	Yukon	Corporate,
83,15571411	Arianne Irving	Saskachewan	Prarie	Corporate,
84,38191421	Neil Ducich	Manitoba	Prarie	Home Office,
85,3285755	Brendan Murry	British Columbia	West	Corporate,
86,94892175	Corey Lock	British Columbia	West	Home Office,
87,98258765	Bobby Trafton	British Columbia	West	Corporate,
88,77512636	Eric Murdock	Newfoundland	Atlantic	Home Office,
89,84624337	Frank Atkinson	Prince Edward Island	Atlantic	Corporate,
90,17005974	Nora Paige	Nova Scotia	Atlantic	Small Business,
91,30521001	Anthony Rawles	British Columbia	West	Small Business,
92,77418915	Jennifer Braxton	Prince Edward Island	Atlantic	Small Business,
93,61746358	Pete Armstrong	Ontario	Ontario	Consumer,
94,46998039	Thomas Brumley	British Columbia	West	Consumer,
95,72691604	MaryBeth Skach	Saskachewan	Prarie	Home Office,
96,69981415	Luke Schmidt	Saskachewan	Prarie	Home Office,
97,75540073	Craig Yedwab	Nova Scotia	Atlantic	Corporate,
98,10407796	Charles Crestani	Yukon	Yukon	Consumer,
99,34141840	Dan Lawera	Ontario	Ontario	Corporate,
100,10136898	James Lanier	Ontario	Ontario	Corporate,
101,101822304	Susan Vittorini	Ontario	Ontario	Home Office,
102,97588200	Deanra Eno	New Brunswick	Atlantic	Corporate,
103,57153957	Jack O'Briant	Nova Scotia	Atlantic	Small Business,
104,103235308	Sylvia Foulston	Northwest Territories	Northwest Territories	Corporate,
105,6767935	Julia Dunbar	Saskachewan	Prarie	Consumer,
106,33681614	Michael Chen	Quebec	Quebec	Consumer,
107,61395005	John Castell	Ontario	Ontario	Consumer,
108,34697007	Helen Wasserman	Quebec	Quebec	Home Office,
109,34495598	Cynthia Delaney	British Columbia	West	Corporate,
110,72728792	Becky Martin	Nova Scotia	Atlantic	Home Office,
111,43122374	John Lucas	Ontario	Ontario	Small Business,
112,72112650	Cynthia Delaney	Quebec	Quebec	Corporate,
113,102008024	Frank Merwin	Alberta	West	Consumer,
114,89600502	Greg Matthias	British Columbia	West	Small Business,
115,24223712	Delfina Latchford	Northwest Territories	Northwest Territories	Small Business,
116,35183561	Erica Hernandez	Quebec	Quebec	Small Business,
117,19544810	Mike Vittorini	Nova Scotia	Atlantic	Small Business,
118,96628821	Resi Polking	Alberta	West	Small Business,
119,23795937	Alan Hwang	Ontario	Ontario	Corporate,
120,21396956	Richard Bierner	New Brunswick	Atlantic	Small Business,
121,56266301	Jim Mitchum	Ontario	Ontario	Consumer,
122,11286401	Anna Gayman	Ontario	Ontario	Corporate,
123,100022088	Dean Percer	Quebec	Quebec	Consumer,
124,11934383	Carlos Soltero	Prince Edward Island	Atlantic	Consumer,
125,51054401	Khloe Miller	British Columbia	West	Corporate,
126,68223869	Beth Paige	Nunavut	Nunavut	Consumer,
127,25540872	Karen Seio	New Brunswick	Atlantic	Consumer,
128,9725401	Laurel Elliston	New Brunswick	Atlantic	Corporate,
129,17328667	Brosina Hoffman	Saskachewan	Prarie	Consumer,
130,24207664	Ellis Ballard	Yukon	Yukon	Corporate,
131,67539279	Adam Hart	Yukon	Yukon	Corporate,
132,79235541	Paul Lucas	Yukon	Yukon	Corporate,
133,28382862	Shahid Shariari	British Columbia	West	Consumer,
134,78769548	Anne Pryor	Quebec	Quebec	Home Office,
135,93726727	Nat Gilpin	Ontario	Ontario	Consumer,
136,16060471	Kelly Collister	Saskachewan	Prarie	Consumer,
137,39916227	Sally Knutson	British Columbia	West	Consumer,
138,46365602	Yana Sorensen	British Columbia	West	Corporate,
139,63210192	Barbara Fisher	British Columbia	West	Small Business,
140,91844273	Christine Phan	Ontario	Ontario	Small Business,
141,20566789	Ralph Kennedy	British Columbia	West	Corporate,
142,21047871	Jennifer Patt	Yukon	Yukon	Home Office,
143,13226561	Nick Zandusky	Saskachewan	Prarie	Small Business,
144,17332515	Jim Radford	Northwest Territories	Northwest Territories	Corporate,
145,103284166	Cari Schnelling	Northwest Territories	Northwest Territories	Home Office,
146,36255546	Keith Dawkins	Manitoba	Prarie	Home Office,
147,40571381	Don Weiss	Ontario	Ontario	Corporate,
148,91610897	Barry Franz	Ontario	Ontario	Corporate,
149,43644616	Doug Jacobs	Quebec	Quebec	Home Office,
150,81275177	Sean O'Donnell	Ontario	Ontario	Corporate,
151,28609672	Thea Hudgings	Manitoba	Prarie	Consumer,
152,5044115	Steve Nguyen	Ontario	Ontario	Small Business,
153,56068175	Shirley Jackson	Yukon	Yukon	Corporate,
154,96063089	Rick Wilson	Saskachewan	Prarie	Consumer,
155,31406507	Brian Stugart	Nova Scotia	Atlantic	Corporate,
156,55417339	Elpida Rittenbach	Nova Scotia	Atlantic	Consumer,
157,14111599	Cathy Armstrong	Nova Scotia	Atlantic	Consumer,
158,12859907	Denny Ordway	Yukon	Yukon	Small Business,
159,54579533	Alex Grayson	Quebec	Quebec	Consumer,
160,7345328	Tracy Collins	New Brunswick	Atlantic	Consumer,
